Rank in 2020,School name,Country,Weighted salary (US$),Address,LatLong,Latitude,Longitude
64,WHU – Otto Beisheim School of Management,Germany,125238,"Burgpl. 2, 56179 Vallendar, Germany","50.400325379470864, 7.613528056188926",50.40032538,7.613528056
65,University of California at Irvine: Merage,US,135170,"4293 Pereira Dr, Irvine, CA 92697, United States","33.647325199062955, -117.83794038470589",33.6473252,-117.8379404
66,"Rotterdam School of Management, Erasmus University",Netherlands,115955,"Burgemeester Oudlaan 50, 3062 PA Rotterdam, Netherlands","51.915651597476845, 4.526237456229168",51.9156516,4.526237456
67,Boston University: Questrom,US,128696,"595 Commonwealth Avenue, Boston, MA 02215, United States","42.34976870325291, -71.0995680593513",42.3497687,-71.09956806
68,University of St Gallen,Switzerland,127022,"Dufourstrasse 50, 9000 St. Gallen, Switzerland","47.43212119087581, 9.375438552406697",47.43212119,9.375438552
69,Northeastern University: D'Amore-McKim,US,107350,"360 Huntington Ave, Boston, MA 02115, United States","42.3403721821491, -71.08784063051529",42.34037218,-71.08784063
70,George Washington University,US,129356,"2121 I St NW, Washington, DC 20052, United States","38.89966786045271, -77.04867676190665",38.89966786,-77.04867676
71,Mannheim Business School,Germany,124415,"L5 6, 68161 Mannheim, Germany","49.48292779480741, 8.465990737150772",49.48292779,8.465990737
72,Ohio State University: Fisher,US,137172,"2100 Neil Ave, Columbus, OH 43210, United States","40.00431848890793, -83.01513861522126",40.00431849,-83.01513862
73,University of Maryland: Smith,US,131642,"7621 Mowatt Ln, College Park, MD 20742, United States","38.98295753908649, -76.94699605942331",38.98295754,-76.94699606
74,University of Pittsburgh: Katz,US,116559,"3950 Roberto Clemente Dr, Pittsburgh, PA 15260, United States","40.440620448392345, -79.95361917288432",40.44062045,-79.95361917
74,SMU: Cox,US,134659,"6214 Bishop Blvd, Dallas, TX 75275, United States","32.842149938891005, -96.78368113070258",32.84214994,-96.78368113
76,University of Rochester: Simon,US,128405,"300 Wilson Blvd, Rochester, NY 14620, United States","43.12692273983937, -77.63081780166145",43.12692274,-77.6308178
77,University of Connecticut School of Business,US,134093,"2100 Hillside Rd, Storrs, CT 06269, United States","41.8059299818823, -72.25373427285483",41.80592998,-72.25373427
78,University of Minnesota: Carlson,US,133274,"321 19th Ave S, Minneapolis, MN 55455, United States","44.97025764058776, -93.24510437278262",44.97025764,-93.24510437
79,EMLyon Business School,France,96290,"23 Avenue Guy de Collongue, 69130 Écully, France","45.786467223872684, 4.764036338875052",45.78646722,4.764036339
80,Melbourne Business School,Australia,115679,"200 Leicester St, Carlton VIC 3053, Australia","-37.80130449329514, 144.9611468273126",-37.80130449,144.9611468
81,ESMT Berlin,Germany,116933,"Schloßpl. 1, 10178 Berlin, Germany","52.515685834972906, 13.401117679521882",52.51568583,13.40111768
81,University of Texas at Dallas: Jindal,US,111606,"800 W Campbell Rd, Richardson, TX 75080, United States","32.98500592717602, -96.74685919336805",32.98500593,-96.74685919
83,Brigham Young University: Marriott,US,135649,"Campus Dr, Provo, UT 84602, United States","40.250591572986146, -111.65254314405213",40.25059157,-111.6525431
84,The Lisbon MBA Católica/Nova,Portugal,105394,"Palma de Cima, 1649-023 Lisboa, Portugal","38.748708654864515, -9.164904487382671",38.74870865,-9.164904487
85,Purdue University: Krannert,US,119908,"403 W State St, West Lafayette, IN 47907, United States","40.423792952110276, -86.91079573055707",40.42379295,-86.91079573
86,Texas A & M University: Mays,US,132598,"Wehner Building, 4113 TAMU, 210 Olsen Blvd, College Station, TX 77843, United States","30.610849447958838, -96.35063225957539",30.61084945,-96.35063226
87,Western University: Ivey,Canada,109390,"1255 Western Rd, London, ON N6G 0N1, Canada","43.004366355267045, -81.27783714399189",43.00436636,-81.27783714
88,Edhec Business School,France,104737,"24 Avenue Gustave Delory, 59100 Roubaix, France","50.67333008441023, 3.1659230831790417",50.67333008,3.165923083
